DEPTH,AREA,ELEV,SAND_P,CLAY_P,SILT_P,pH,SMC,LOI,WEP,WEP100,MM3,M3,TP,AG,AL,AS,BA,CA,CD,CO,CR,CU,FE,K,LI,MG,MN,NA,NI,PB,S,SE,SI,ZN,P_sorb,PSI
10,4,279.3,11.2,17.7,71.2,,34.8,2.6,2.2,,8.9,6.5,268.2,0.2,7148.5,4.8,106.5,4048.1,2.1,8.7,14.3,9.4,12725.9,777.1,9.9,563.5,838.6,25.1,14.7,13.6,251.3,,39.5,43.5,248.8,138.5
20,4,279.3,8.6,18.9,72.5,,34.3,2.3,3.2,,10.2,8.4,424,0.2,8832.3,4.6,118.3,4022.2,2.4,9.5,16.5,10.5,14938.9,930.7,12.8,652.6,894.6,30.1,16.9,15.2,251.3,,42.2,55,259.6,144.8
30,4,279.3,9.9,18.9,71.1,,32.2,2.5,3.1,,9.8,13.4,1232.9,0.2,10268.4,5.7,130,3561.7,2.7,10.6,18.5,11.2,17464,1035.7,14.6,708.3,1012.5,32.1,18.7,17,209.9,,42,61.5,242.6,134.9
10,4,279.6,13.6,16.4,69.9,,36.8,2.3,3.1,37.7,10.4,11,183.3,0.2,8665.9,4.3,101.7,3892.4,2,8.4,16.4,9.1,12984.4,1010,12.7,615.9,789,27.1,15,13.4,240.9,,62.1,44.4,246,136.9
20,4,279.6,5,17.7,77.4,,33.1,2.2,3.7,,11.6,10.6,204,0.2,9192.5,4.2,111.9,3598.5,2.3,9.3,17.3,10.3,14579.6,1015,13.3,628.9,849.2,27.7,16.8,14.7,222.3,,50.4,51.8,224,124.1
30,4,279.6,7.4,18.9,73.7,,29.8,1.8,4.4,,10.8,14.5,425.3,0.2,10439.1,4.7,117.8,3109,2.4,9.7,19.8,10.5,15594.7,1135.1,15.7,693.6,871.9,31.6,18.1,15.3,167.7,,46.5,55.5,178.8,98.2
10,4,279.7,9.8,16.4,73.7,,35.2,2.2,2.5,,5.7,7.8,168.6,0.2,6347,4.1,94.4,2845.5,2,8.4,16.3,9.2,11620.1,838.1,12,578.9,811.8,58,12.6,33.7,160.5,,51.5,45.9,205.4,113.4
20,4,279.7,8.6,19,72.5,,32.6,2.1,2.3,,3.7,10.6,159.5,0.2,7156.3,4.3,106.5,2910.7,2.3,9.2,18,10.9,13254.5,907.9,13.9,632,920.9,61.7,14.2,37.7,155.7,,43.5,54.2,191.6,105.5
30,4,279.7,6.2,18.9,74.9,,32,1.8,2.7,,5.6,10.8,195.9,0.2,6648.2,5.3,105.1,3389.8,2.2,8.8,16.3,10.3,11903.7,815.6,13.2,621.9,950.4,59.6,12.9,36,206.3,,56.7,54.3,225.6,125
10,4,278.7,4.9,20.2,74.9,,34.9,2.6,2.9,,6.6,13.4,172.2,0.2,7432.2,5.2,120.1,2988.5,2.5,9.8,18.1,10.6,14175.9,888.2,14.3,652.5,999.5,62.4,14.4,40.5,145.9,,53.6,55.7,214.9,118.9
20,4,278.7,6.2,20.2,73.6,,28.9,2.1,1.9,,2.3,15.2,183.6,,5330.4,4.7,109.9,2524.3,2,8.6,13,8.9,11476.1,661.1,8.4,473.3,693.4,55.5,11.6,33.3,,,64.7,37.3,240,133.4
